iter	Passed	Remaining
0	138	138176
1	139	69503
2	140	46717
3	141	35220
4	142	28312
5	148	24611
6	149	21227
7	154	19169
8	155	17079
9	155	15403
10	156	14032
11	156	12915
12	157	11947
13	157	11119
14	158	10398
15	158	9771
16	159	9211
17	159	8720
18	160	8274
19	160	7882
20	161	7529
21	161	7200
22	162	6908
23	163	6633
24	163	6381
25	165	6193
26	165	5974
27	166	5774
28	166	5584
29	167	5414
30	167	5248
31	168	5092
32	168	4946
33	169	4810
34	169	4680
35	170	4561
36	170	4445
37	171	4335
38	172	4245
39	176	4229
40	176	4134
41	177	4057
42	179	3986
43	180	3931
44	182	3863
45	183	3795
46	183	3729
47	184	3662
48	185	3608
49	186	3550
50	187	3491
51	188	3429
52	188	3373
53	189	3315
54	189	3259
55	190	3207
56	191	3166
57	192	3118
58	192	3071
59	193	3024
60	193	2979
61	194	2935
62	194	2892
63	194	2851
64	195	2811
65	197	2791
66	199	2782
67	200	2741
68	200	2708
69	201	2672
70	201	2638
71	202	2604
72	202	2572
73	203	2543
74	204	2527
75	205	2503
76	206	2474
77	206	2445
78	207	2417
79	207	2390
80	208	2364
81	210	2355
82	211	2331
83	211	2306
84	211	2279
85	212	2255
86	212	2232
87	213	2209
88	213	2189
89	214	2172
90	215	2149
91	215	2128
92	216	2108
93	216	2089
94	217	2074
95	218	2060
96	219	2044
97	221	2041
98	233	2128
99	234	2113
100	236	2104
101	236	2083
102	237	2065
103	238	2052
104	238	2037
105	240	2024
106	240	2010
107	242	1999
108	242	1985
109	243	1968
110	244	1954
111	244	1938
112	244	1922
113	246	1915
114	247	1901
115	247	1885
116	247	1870
117	248	1856
118	249	1843
119	249	1830
120	250	1816
121	250	1804
122	250	1788
123	251	1779
124	253	1774
125	254	1764
126	255	1752
127	255	1741
128	256	1731
129	257	1723
130	259	1719
131	259	1707
132	260	1695
133	261	1687
134	261	1675
135	262	1664
136	262	1653
137	265	1655
138	265	1644
139	266	1637
140	266	1626
141	267	1615
142	267	1606
143	268	1596
144	269	1586
145	269	1576
146	270	1569
147	271	1561
148	272	1555
149	272	1546
150	273	1536
151	274	1528
152	274	1519
153	274	1510
154	275	1502
155	276	1493
156	277	1487
157	277	1479
158	278	1470
159	278	1462
160	279	1453
161	279	1446
162	279	1437
163	280	1430
164	281	1422
165	281	1415
166	282	1407
167	282	1400
168	283	1392
169	283	1385
170	284	1378
171	284	1371
172	285	1364
173	286	1357
174	286	1350
175	286	1343
176	287	1337
177	288	1331
178	288	1324
179	289	1317
180	289	1310
181	290	1304
182	290	1297
183	291	1291
184	291	1284
185	291	1277
186	292	1271
187	293	1265
188	293	1259
189	294	1253
190	294	1247
191	295	1241
192	296	1238
193	296	1233
194	297	1228
195	298	1223
196	298	1217
197	300	1215
198	300	1209
199	301	1205
200	302	1201
201	303	1198
202	303	1192
203	304	1187
204	304	1182
205	305	1178
206	306	1173
207	306	1168
208	307	1163
209	307	1157
210	308	1152
211	308	1147
212	309	1143
213	309	1138
214	310	1132
215	310	1127
216	311	1122
217	311	1117
218	312	1112
219	314	1113
220	315	1111
221	316	1109
222	317	1105
223	317	1101
224	318	1097
225	319	1095
226	320	1091
227	321	1087
228	321	1083
229	323	1081
230	324	1080
231	325	1076
232	326	1075
233	327	1071
234	327	1067
235	328	1064
236	329	1060
237	329	1056
238	330	1052
239	331	1048
240	332	1045
241	332	1042
242	333	1039
243	334	1035
244	334	1032
245	335	1029
246	336	1026
247	337	1023
248	338	1019
249	338	1016
250	339	1012
251	339	1008
252	340	1005
253	341	1002
254	341	998
255	342	995
256	343	991
257	343	988
258	344	986
259	345	982
260	345	979
261	346	975
262	347	972
263	347	969
264	348	965
265	348	962
266	349	959
267	350	956
268	350	953
269	351	950
270	351	946
271	352	943
272	353	940
273	353	937
274	354	934
275	355	932
276	356	929
277	356	926
278	357	923
279	357	920
280	358	917
281	359	914
282	359	911
283	360	909
284	361	906
285	361	903
286	362	900
287	362	897
288	363	895
289	364	892
290	365	889
291	365	886
292	366	884
293	367	881
294	367	878
295	368	875
296	368	873
297	369	870
298	370	867
299	370	864
300	371	861
301	371	859
302	372	856
303	373	854
304	373	851
305	374	849
306	374	846
307	375	843
308	376	841
309	377	839
310	377	836
311	378	834
312	379	832
313	379	829
314	380	826
315	380	824
316	381	821
317	381	818
318	383	817
319	383	815
320	384	812
321	384	810
322	385	807
323	385	805
324	386	803
325	387	800
326	387	798
327	388	795
328	389	793
329	389	791
330	391	790
331	391	788
332	392	786
333	393	783
334	393	781
335	394	779
336	394	776
337	395	774
338	395	772
339	396	769
340	397	767
341	397	765
342	398	762
343	399	761
344	399	758
345	400	756
346	400	754
347	401	752
348	402	750
349	402	747
350	403	745
351	403	743
352	405	742
353	405	740
354	406	738
355	407	736
356	407	734
357	408	732
358	409	730
359	409	728
360	410	726
361	411	724
362	411	722
363	412	720
364	412	718
365	413	716
366	414	714
367	415	712
368	415	710
369	416	708
370	416	706
371	418	706
372	419	704
373	419	702
374	420	700
375	420	698
376	421	696
377	421	694
378	422	692
379	423	690
380	423	688
381	424	686
382	425	685
383	425	683
384	426	681
385	426	679
386	427	677
387	428	675
388	428	673
389	429	671
390	429	669
391	430	667
392	431	666
393	432	664
394	432	662
395	433	661
396	433	659
397	434	657
398	435	655
399	436	654
400	436	652
401	437	650
402	437	648
403	438	646
404	439	645
405	439	643
406	440	641
407	441	640
408	441	638
409	442	636
410	443	634
411	443	633
412	444	631
413	445	629
414	446	629
415	446	627
416	447	625
417	448	624
418	449	622
419	449	621
420	450	619
421	451	617
422	451	616
423	452	614
424	453	613
425	453	611
426	454	609
427	455	608
428	455	606
429	456	604
430	457	603
431	457	601
432	458	600
433	459	599
434	460	598
